repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
kizuna-ai-lab,sokuji,https://github.com/kizuna-ai-lab/sokuji,-5.914015444015433,28.62379302780647,29.277493361481163
catatsuy,private-isu,https://github.com/catatsuy/private-isu,-0.497360139860092,24.66719585849873,20.328412132024994
netdata,netdata,https://github.com/netdata/netdata,38.67706043956048,43.542492182614154,38.79121951219514
mckaywrigley,mckays-app-template,https://github.com/mckaywrigley/mckays-app-template,22.7641349739001,58.76017510944342,57.72846779237025
oxcaml,oxcaml,https://github.com/oxcaml/oxcaml,121.22000000000004,,
FinAegis,core-banking-prototype-laravel,https://github.com/FinAegis/core-banking-prototype-laravel,-15.769708946078424,12.83908153967505,12.564117728909395
fujidaiti,smooth_sheets,https://github.com/fujidaiti/smooth_sheets,50.04006528684542,61.7780238025272,60.88674778761063
nekobato,Polidium,https://github.com/nekobato/Polidium,57.79141304347826,70.81571428571431,
widmogrod,mkunion,https://github.com/widmogrod/mkunion,25.44553749570005,45.07141601399769,44.68757739938084
ivo-toby,mcp-openapi-server,https://github.com/ivo-toby/mcp-openapi-server,28.95050912792084,43.75511000523838,41.75062200956941
JuliaBesties,BestieTemplate.jl,https://github.com/JuliaBesties/BestieTemplate.jl,11.892475310793571,37.02781631656086,30.00284413277234
yulin0629,github-copilot-tutorial,https://github.com/yulin0629/github-copilot-tutorial,79.54315789473684,69.06887500000002,82.4636985551331
luno,luno-mcp,https://github.com/luno/luno-mcp,18.749501594896373,45.0105981077746,43.03180110715698
kern,filepizza,https://github.com/kern/filepizza,17.43267326732675,69.34207310420078,71.91024839743591
digitarald,vscode-agent-todos,https://github.com/digitarald/vscode-agent-todos,-386.3799999999999,-50.00999999999996,
openshift-online,rh-trex,https://github.com/openshift-online/rh-trex,8.826684682219366,41.158046409544,38.45173438657213
bbfox0703,Mydev-Cheat-Engine-Tables,https://github.com/bbfox0703/Mydev-Cheat-Engine-Tables,18.113024858020708,38.40632669184524,36.27899533939714
freeplane,freeplane,https://github.com/freeplane/freeplane,-4.8878327922077744,31.276918699577436,27.32048507702777
knyga,html2thermal,https://github.com/knyga/html2thermal,14.974363636363648,53.42833333333334,56.60447368421055
rasulkireev,marketing-agents,https://github.com/rasulkireev/marketing-agents,15.877521047939808,38.35240756902573,36.88490051679588
steipete,mcp-agentify,https://github.com/steipete/mcp-agentify,0.0,,
steipete,Peekaboo,https://github.com/steipete/Peekaboo,28.26516755565865,41.485617585151175,40.7711311620165
mikker,nitro_kit,https://github.com/mikker/nitro_kit,17.2687485163205,43.35721153846154,45.56152014652017
dymensionxyz,dymension,https://github.com/dymensionxyz/dymension,18.57733595800528,39.94513965317728,36.88218390360703
unoplat,unoplat-code-confluence,https://github.com/unoplat/unoplat-code-confluence,12.05584594953524,35.240820895522404,38.06647058823532
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian,24.02415379213485,43.13727048477051,42.94255238095241
monarch-initiative,mondo,https://github.com/monarch-initiative/mondo,26.301294846572148,46.9986824190496,47.20584784836069
FriendsOfShopware,shopmon,https://github.com/FriendsOfShopware/shopmon,3.427450980392166,45.41690713101164,40.72831481481484
tuannvm,slack-mcp-client,https://github.com/tuannvm/slack-mcp-client,24.28459514170044,37.20565790717461,35.9384706139393
dvcrn,mcp-server-siri-shortcuts,https://github.com/dvcrn/mcp-server-siri-shortcuts,-386.3799999999999,-50.00999999999996,
yang3kc,daily_arxiv_digest,https://github.com/yang3kc/daily_arxiv_digest,14.970402384500773,33.35824358974361,29.952722222222235
hannesrudolph,imessage-query-fastmcp-mcp-server,https://github.com/hannesrudolph/imessage-query-fastmcp-mcp-server,-0.7949764595103375,23.372763157894752,19.217000000000013
utopia-os,utopia-map,https://github.com/utopia-os/utopia-map,20.33956856702622,42.53476923076923,43.3609787284895
oven-sh,bun,https://github.com/oven-sh/bun,47.43799319727893,65.59922935185375,64.45242904983542
binbashar,le-ref-architecture-doc,https://github.com/binbashar/le-ref-architecture-doc,-14.332173913043448,20.279619974961776,13.612736486486511
thirdweb-dev,js,https://github.com/thirdweb-dev/js,3.858970233306508,37.98064628299832,38.96770166978649
MCPJam,inspector,https://github.com/MCPJam/inspector,-17.139633608815416,10.85613636363638,17.08377635610023
t3-sh,cloudcredits.io,https://github.com/t3-sh/cloudcredits.io,41.807621368899845,51.3301379134775,53.39079269414799
tuxpeople,k8s-homelab,https://github.com/tuxpeople/k8s-homelab,7.922757983592106,29.046108703726674,27.387757961768926
Cap-go,capgo,https://github.com/Cap-go/capgo,4.008331606217638,48.97859837728197,42.83246908278943
FastLED,FastLED,https://github.com/FastLED/FastLED,31.094044378698243,51.826334760483974,45.50010764162147
railsware,mailtrap-mcp,https://github.com/railsware/mailtrap-mcp,28.671221238938077,51.814871456822715,48.53968203497618
tuanpmt,docflu,https://github.com/tuanpmt/docflu,0.5785935016363055,28.369067513369004,23.5891112834816
elizaOS,eliza,https://github.com/elizaOS/eliza,6.549253660041643,35.503343278343294,35.62280396885899
anyproto,anytype-swift,https://github.com/anyproto/anytype-swift,23.34040478831818,44.72141873153677,44.02162588413452
anyproto,anytype-mcp,https://github.com/anyproto/anytype-mcp,22.10797276428471,49.82303223388308,46.0277315595244
anyproto,anytype-raycast,https://github.com/anyproto/anytype-raycast,27.11033333333336,48.609214456391896,44.091109447771146
